datetime_UTC,longitude,latitude,water_level,quality_water_level
2018-06-21 09:59:52,12.766523,55.81042,0.507,1
2018-06-21 09:59:53,12.734343,55.753163,0.454,1
2018-06-21 09:59:57,12.606438,55.524062,0.279,1
2018-06-21 09:59:58,12.574664,55.46677,0.276,0
2018-06-21 09:59:59,12.542969,55.409471,0.26,0
2018-06-21 10:00:00,12.511354,55.352166,0.288,1
2018-07-13 20:16:59,12.876951,55.697581,0.589,1
2018-07-13 20:17:00,12.844855,55.754845,0.6,1
2018-07-13 20:17:01,12.812678,55.812102,0.61,1
2018-07-18 09:59:51,12.763487,55.814741,0.448,1
2018-07-18 09:59:52,12.731307,55.757482,0.422,1
2018-07-18 09:59:56,12.603402,55.528378,0.392,1
2018-07-18 09:59:57,12.571628,55.471085,0.397,0
2018-07-18 09:59:58,12.539933,55.413785,0.398,0
2018-07-18 09:59:59,12.508318,55.356478,0.412,1
2018-08-09 20:16:55,12.896605,55.671478,0.557,1
2018-08-09 20:16:57,12.832415,55.786008,0.532,1
2018-08-14 09:59:53,12.579626,55.485234,0.53,0
2018-08-14 09:59:54,12.547917,55.427935,0.525,0
2018-08-14 09:59:55,12.516288,55.370629,0.513,1
2018-09-05 20:16:54,12.848141,55.718767,0.458,1
2018-09-05 20:16:55,12.815977,55.776023,0.47,1
2018-09-10 09:59:47,12.777078,55.802723,0.57,1
2018-09-10 09:59:48,12.744877,55.74547,0.509,1
2018-09-10 09:59:52,12.616887,55.516389,0.382,1
2018-09-10 09:59:53,12.585091,55.459102,0.324,0
2018-09-10 09:59:54,12.553375,55.401808,0.311,0
2018-10-02 20:16:57,12.874861,55.687897,0.599,1
2018-10-02 20:16:59,12.810569,55.802411,0.584,1
2018-10-07 09:59:51,12.744512,55.748977,0.624,1
2018-10-07 09:59:55,12.616541,55.519895,0.76,1
2018-10-07 09:59:56,12.58475,55.462607,0.74,0
2018-10-07 09:59:57,12.553039,55.405312,0.772,0
2018-10-07 09:59:58,12.521407,55.348011,0.777,1
2018-12-05 20:18:56,12.614818,55.337378,0.138,0
2018-12-05 20:18:57,12.583225,55.39469,0.149,0
2018-12-05 20:18:58,12.551553,55.451994,0.199,0
2018-12-05 20:18:59,12.519802,55.509292,0.192,1
2018-12-14 09:58:18,12.985514,55.335091,0.56,1
2019-01-01 20:18:57,12.631671,55.283549,0.227,0
2019-01-01 20:18:58,12.600132,55.340855,0.149,0
2019-01-01 20:18:59,12.568514,55.398154,0.157,0
2019-01-01 20:19:00,12.536816,55.455447,0.177,0
2019-01-01 20:19:01,12.505039,55.512733,0.165,1
2019-01-10 09:58:21,12.987964,55.356343,0.603,1
2019-01-10 09:58:22,12.956412,55.299041,0.632,0
2019-02-06 09:58:21,12.987133,55.36838,0.359,1
2019-02-06 09:58:22,12.955574,55.311069,0.387,0
2019-02-24 20:19:00,12.625714,55.285606,0.181,0
2019-02-24 20:19:01,12.594167,55.342913,0.224,0
2019-02-24 20:19:02,12.562541,55.400213,0.173,0
2019-02-24 20:19:03,12.530836,55.457506,0.187,0
2019-02-24 20:19:04,12.49905,55.514793,0.224,1
2019-03-05 09:58:25,12.978261,55.330592,0.437,1
2019-03-23 20:19:04,12.622819,55.302502,0.374,0
2019-03-23 20:19:05,12.591262,55.359816,0.396,0
2019-03-23 20:19:06,12.559625,55.417124,0.428,0
2019-03-23 20:19:07,12.527909,55.474425,0.434,0
2019-03-23 20:19:08,12.496112,55.531719,0.483,1
2019-03-28 10:01:58,12.482262,56.129318,0.278,1
2019-04-01 09:58:27,12.993673,55.375119,0.554,1
2019-04-01 09:58:28,12.962094,55.317809,0.583,0
2019-04-19 20:19:06,12.584599,55.378292,0.133,0
2019-04-19 20:19:07,12.552949,55.435596,0.128,0
2019-04-19 20:19:08,12.521219,55.492894,0.176,0
2019-05-16 20:19:02,12.634234,55.297198,0.626,0
2019-05-16 20:19:03,12.602707,55.354506,0.647,0
2019-05-16 20:19:04,12.571101,55.411808,0.644,0
2019-05-16 20:19:05,12.539415,55.469103,0.629,0
2019-05-16 20:19:06,12.50765,55.52639,0.665,1
2019-05-25 09:58:24,12.95842,55.329347,0.239,1
2019-06-12 20:18:58,12.618481,55.337463,0.65,0
2019-06-12 20:18:59,12.586904,55.394767,0.638,0
2019-06-12 20:19:00,12.555247,55.452065,0.674,0
2019-06-12 20:19:01,12.523512,55.509356,0.71,1
2019-06-21 09:58:20,12.981948,55.348338,0.251,1
2019-06-21 09:58:21,12.950397,55.291024,0.262,0
2019-07-09 20:19:00,12.599069,55.337614,0.696,0
2019-07-09 20:19:01,12.567458,55.394921,0.723,0
2019-07-09 20:19:02,12.535768,55.452221,0.727,0
2019-07-09 20:19:03,12.503998,55.509515,0.733,1
2019-08-05 20:19:00,12.637072,55.283972,0.304,0
2019-08-05 20:19:01,12.605541,55.341289,0.335,0
2019-08-05 20:19:02,12.57393,55.398599,0.32,0
2019-08-05 20:19:03,12.54224,55.455903,0.324,0
2019-08-05 20:19:04,12.51047,55.513199,0.367,1
2019-08-14 09:58:23,12.986563,55.349352,0.255,1
2019-08-14 09:58:24,12.95502,55.292043,0.305,0
2019-09-01 20:18:59,12.640837,55.294031,0.32,0
2019-09-01 20:19:00,12.609302,55.351341,0.329,0
2019-09-01 20:19:01,12.577688,55.408645,0.35,0
2019-09-01 20:19:02,12.545994,55.465942,0.367,0
2019-09-01 20:19:03,12.514221,55.523232,0.365,1
2019-09-10 09:58:22,12.988575,55.359446,0.571,1
2019-09-10 09:58:23,12.957029,55.302141,0.574,0
2019-09-28 20:18:58,12.635796,55.299081,0.484,0
2019-09-28 20:18:59,12.604265,55.356386,0.528,0
2019-09-28 20:19:00,12.572654,55.413685,0.55,0
2019-09-28 20:19:01,12.540964,55.470978,0.553,0
2019-09-28 20:19:02,12.509195,55.528263,0.56,1
2019-10-07 09:58:20,12.975761,55.359294,0.457,1
2019-10-07 09:58:21,12.944226,55.301982,0.466,0
2019-10-25 20:18:57,12.609077,55.310371,0.221,0
2019-10-25 20:18:58,12.577488,55.367673,0.229,0
2019-10-25 20:18:59,12.545819,55.424968,0.232,0
2019-10-25 20:19:00,12.514071,55.482256,0.27,0
2019-10-25 20:19:01,12.482243,55.539538,0.337,1
2019-11-03 09:58:21,12.99901,55.367593,0.638,1
2019-11-03 09:58:22,12.967424,55.310283,0.673,0
2019-11-21 20:19:01,12.599925,55.335767,0.421,0
2019-11-21 20:19:02,12.568311,55.393074,0.406,0
2019-11-21 20:19:03,12.536618,55.450374,0.412,0
2019-11-21 20:19:04,12.504845,55.507667,0.426,1
2019-11-30 09:58:24,12.972282,55.327391,0.234,1
2019-12-18 20:19:00,12.63174,55.29768,0.517,0
2019-12-18 20:19:01,12.600193,55.354992,0.572,0
2019-12-18 20:19:02,12.568567,55.412297,0.546,0
2019-12-18 20:19:03,12.536862,55.469596,0.581,0
2019-12-18 20:19:04,12.505076,55.526887,0.614,1
2019-12-27 09:58:23,12.984514,55.3534,0.776,1
2019-12-27 09:58:24,12.952973,55.296094,0.818,0
2020-01-14 20:18:59,12.628634,55.311444,0.287,0
2020-01-14 20:19:00,12.597085,55.36875,0.343,0
2020-01-14 20:19:01,12.565456,55.426049,0.352,0
2020-01-14 20:19:02,12.533748,55.483342,0.388,0
2020-01-14 20:19:03,12.501961,55.540627,0.433,1
2020-01-23 09:58:21,12.975461,55.350285,0.567,1
2020-01-23 09:58:22,12.943935,55.292977,0.571,0
2020-02-10 20:18:57,12.618888,55.301772,0.079,0
2020-02-10 20:18:58,12.587321,55.359073,0.172,0
2020-02-10 20:18:59,12.555675,55.416367,0.196,0
2020-02-10 20:19:00,12.52395,55.473654,0.262,0
2020-02-10 20:19:01,12.492145,55.530935,0.297,1
2020-02-19 09:58:21,13.001245,55.371472,0.506,1
2020-02-19 09:58:22,12.969658,55.314164,0.58,0
2020-03-08 20:19:01,12.606367,55.33106,0.432,0
2020-03-08 20:19:02,12.574771,55.388365,0.45,0
2020-03-08 20:19:03,12.543095,55.445665,0.451,0
2020-03-08 20:19:04,12.51134,55.502957,0.476,0
2020-03-17 09:58:24,12.972863,55.343282,0.434,1
2020-03-17 09:58:25,12.941332,55.285965,0.458,0
2020-04-04 20:19:01,12.626242,55.298803,0.259,0
2020-04-04 20:19:02,12.594703,55.356119,0.25,0
2020-04-04 20:19:03,12.563086,55.413428,0.265,0
2020-04-04 20:19:04,12.531389,55.470731,0.301,0
2020-04-04 20:19:05,12.499612,55.528027,0.328,1
2020-04-13 09:58:25,12.981749,55.344927,0.3,1
2020-04-13 09:58:26,12.950193,55.287619,0.328,0
2020-05-01 20:19:05,12.61827,55.294089,0.298,0
2020-05-01 20:19:06,12.586712,55.351397,0.327,0
2020-05-01 20:19:07,12.555075,55.408699,0.316,0
2020-05-01 20:19:08,12.523358,55.465993,0.343,0
2020-05-01 20:19:09,12.491562,55.523281,0.39,1
2020-05-10 09:58:29,12.9871,55.354563,0.344,1
2020-05-10 09:58:30,12.955543,55.297259,0.304,0
2020-05-28 20:19:07,12.6331,55.289944,0.451,0
2020-05-28 20:19:08,12.601559,55.347249,0.494,0
2020-05-28 20:19:09,12.569939,55.404547,0.421,1
2020-05-28 20:19:10,12.538239,55.461839,0.441,0
2020-05-28 20:19:11,12.50646,55.519124,0.519,1
2020-06-06 09:58:32,12.979144,55.336312,0.017,1
2020-07-03 09:58:34,12.993627,55.364246,0.315,1
2020-07-03 09:58:35,12.962056,55.306933,0.344,0
2020-07-21 20:19:12,12.611436,55.336038,0.409,0
2020-07-21 20:19:13,12.579832,55.393347,0.396,0
2020-07-21 20:19:14,12.54815,55.45065,0.423,0
2020-07-21 20:19:15,12.516387,55.507945,0.454,1
2020-07-26 10:02:05,12.486696,56.12253,0.343,1
2020-07-30 09:58:34,12.988916,55.34761,0.21,1
2020-07-30 09:58:35,12.957374,55.290295,0.245,0
2020-08-17 20:19:12,12.615866,55.332688,0.518,0
2020-08-17 20:19:13,12.584271,55.389998,0.486,0
2020-08-17 20:19:14,12.552597,55.447302,0.496,0
2020-08-17 20:19:15,12.520844,55.504598,0.544,1
2020-08-26 09:58:34,12.989273,55.361825,0.437,1
2020-08-26 09:58:35,12.957724,55.304517,0.44,0
2020-09-13 20:19:10,12.62887,55.314172,0.242,0
2020-09-13 20:19:11,12.597315,55.371479,0.305,0
2020-09-13 20:19:12,12.56568,55.428779,0.319,0
2020-09-13 20:19:13,12.533966,55.486073,0.319,0
2020-09-13 20:19:14,12.502171,55.54336,0.387,1
2020-09-22 09:58:32,12.969208,55.341231,0.466,1
2020-09-22 09:58:33,12.937701,55.28392,0.466,0
2020-10-10 20:19:07,12.615719,55.297555,0.215,0
2020-10-10 20:19:08,12.584148,55.354855,0.216,0
2020-10-10 20:19:09,12.552498,55.412149,0.235,0
2020-10-10 20:19:10,12.520769,55.469435,0.248,0
2020-10-10 20:19:11,12.48896,55.526715,0.275,1
2020-10-19 09:58:32,12.995356,55.358442,0.216,1
2020-10-19 09:58:33,12.963781,55.301134,0.223,0
2020-11-06 20:19:12,12.623241,55.288673,0.454,0
2020-11-06 20:19:13,12.591694,55.345981,0.48,0
2020-11-06 20:19:14,12.560068,55.403283,0.465,0
2020-11-06 20:19:15,12.528363,55.460577,0.436,0
2020-11-06 20:19:16,12.496578,55.517865,0.505,1
2020-11-15 09:58:36,12.979417,55.339933,0.472,1
2020-11-15 09:58:37,12.947874,55.282619,0.478,0
2020-12-03 20:19:13,12.613084,55.324938,0.526,0
2020-12-03 20:19:14,12.581496,55.382248,0.559,0
2020-12-03 20:19:15,12.549828,55.439551,0.564,0
2020-12-03 20:19:16,12.518081,55.496847,0.599,0
2020-12-12 09:58:35,12.971451,55.318248,0.451,0
2020-12-30 20:19:12,12.623245,55.313367,0.242,0
2020-12-30 20:19:13,12.591682,55.370677,0.256,0
2020-12-30 20:19:14,12.560041,55.42798,0.266,0
2020-12-30 20:19:15,12.528321,55.485276,0.292,0
2020-12-30 20:19:16,12.49652,55.542565,0.337,1
2021-01-08 09:58:35,12.968248,55.340419,0.323,1
2021-01-08 09:58:36,12.936732,55.28311,0.332,0
2021-01-26 20:19:09,12.628213,55.310534,0.297,0
2021-01-26 20:19:10,12.596669,55.36784,0.326,0
2021-01-26 20:19:11,12.565046,55.425139,0.331,0
2021-01-26 20:19:12,12.533344,55.482431,0.345,0
2021-01-26 20:19:13,12.501561,55.539717,0.377,1
