datetime,longitude,latitude,water_level,quality_water_level
2020-12-18 18:46:16,12.697079,55.309371,0.234,1
2020-12-26 23:47:34,12.539026,55.47384,0.103,1
2020-12-26 23:47:35,12.601755,55.436533,0.098,1
2020-12-26 23:47:36,12.664358,55.39919,0.137,1
2020-12-26 23:47:39,12.851414,55.286939,0.13,1
2020-12-28 16:44:48,12.706936,55.316198,0.426,1
2021-01-05 21:46:05,12.489943,55.503157,0.513,1
2021-01-05 21:46:06,12.552771,55.465878,0.535,1
2021-01-05 21:46:07,12.615473,55.428563,0.594,1
2021-01-05 21:46:08,12.678048,55.391211,0.609,1
2021-01-05 21:46:10,12.802824,55.316397,0.639,1
2021-01-07 14:43:19,12.659947,55.287381,0.33,1
2021-01-07 14:43:20,12.72217,55.324838,0.33,1
2021-01-15 19:44:38,12.575055,55.452222,0.402,1
2021-01-15 19:44:39,12.637713,55.414894,0.435,1
2021-01-15 19:44:40,12.700245,55.377529,0.431,1
2021-01-25 17:43:08,12.485722,55.504052,0.259,1
2021-01-25 17:43:09,12.548559,55.466777,0.203,1
2021-01-25 17:43:10,12.61127,55.429464,0.249,1
2021-01-25 17:43:11,12.673854,55.392115,0.265,1
2021-01-25 17:43:12,12.736313,55.354729,0.229,1
2021-01-25 17:43:13,12.798646,55.317307,0.26,1
2021-01-27 10:40:22,12.662061,55.284718,0.429,1
2021-01-27 10:40:23,12.724281,55.322175,0.463,1
2021-02-04 15:41:40,12.542664,55.46879,0.41,1
2021-02-04 15:41:41,12.605385,55.431482,0.451,1
2021-02-04 15:41:42,12.66798,55.394137,0.45,1
2021-02-04 15:41:43,12.73045,55.356755,0.463,1
2021-02-04 15:41:44,12.792795,55.319337,0.442,1
2021-02-04 15:41:45,12.855014,55.281882,0.485,1
2021-02-06 08:38:53,12.661485,55.282918,0.512,1
2021-02-06 08:38:54,12.723702,55.320375,0.514,1
2021-02-14 13:40:12,12.619828,55.423241,0.06,1
2021-02-14 13:40:13,12.682397,55.385889,0.054,1
2021-02-16 06:37:24,12.679402,55.293029,0.015,1
2021-02-16 06:37:25,12.741653,55.330477,0.01,1
2021-02-24 11:38:42,12.533716,55.4755,0.032,1
2021-02-24 11:38:44,12.659076,55.40086,0.023,1
2021-02-24 11:38:45,12.721567,55.363485,0.01,1
2021-02-24 11:38:47,12.846173,55.288625,0.116,1
2021-02-26 04:35:56,12.706992,55.310845,0.072,1
2021-03-06 09:37:13,12.482316,55.507615,-0.008,1
2021-03-06 09:37:14,12.545163,55.470343,-0.018,1
2021-03-06 09:37:15,12.607885,55.433034,0.01,1
2021-03-06 09:37:16,12.67048,55.395689,0.03,1
2021-03-06 09:37:17,12.732949,55.358307,-0.003,1
2021-03-06 09:37:19,12.857513,55.283434,0.047,1
2021-03-08 02:34:28,12.716509,55.317547,0.701,1
2021-03-16 07:35:46,12.555393,55.465416,0.357,1
2021-03-16 07:35:47,12.618095,55.428103,0.366,1
2021-03-16 07:35:48,12.680671,55.390752,0.445,1
2021-03-16 07:35:50,12.805447,55.315941,0.451,1
2021-03-26 05:34:17,12.511746,55.490607,0.325,1
2021-03-26 05:34:18,12.574534,55.45332,0.35,1
2021-03-26 05:34:19,12.637196,55.415995,0.38,1
2021-03-26 05:34:20,12.699733,55.378634,0.393,1
2021-03-26 05:34:22,12.824429,55.303803,0.398,1
2021-03-27 22:31:31,12.686189,55.297841,0.093,1
2021-04-05 03:32:48,12.482239,55.505829,-0.112,1
2021-04-05 03:32:49,12.545081,55.468559,-0.114,1
2021-04-05 03:32:50,12.607797,55.431251,-0.133,1
2021-04-05 03:32:54,12.857405,55.281656,-0.136,1
2021-04-06 20:30:02,12.662279,55.283219,0.302,1
2021-04-06 20:30:03,12.724493,55.320675,0.338,1
2021-04-15 01:31:20,12.532012,55.475145,0.431,1
2021-04-15 01:31:21,12.594751,55.437844,0.443,1
2021-04-15 01:31:23,12.719851,55.363134,0.477,1
2021-04-16 18:28:34,12.71451,55.316009,0.658,1
2021-04-24 23:29:51,12.526577,55.480341,0.379,1
2021-04-24 23:29:52,12.58933,55.443043,0.427,1
2021-04-24 23:29:53,12.651957,55.405709,0.371,1
2021-04-24 23:29:54,12.714459,55.368338,0.423,1
2021-04-24 23:29:56,12.839086,55.293487,0.489,1
2021-05-04 21:28:23,12.525638,55.482863,0.201,1
2021-05-04 21:28:24,12.588394,55.445565,0.207,1
2021-05-04 21:28:25,12.651024,55.40823,0.247,1
2021-05-04 21:28:26,12.713528,55.370859,0.261,1
2021-05-04 21:28:28,12.83816,55.296007,0.341,1
2021-05-06 14:25:37,12.693059,55.308154,0.129,1
2021-05-14 19:26:56,12.592454,55.445216,0.401,1
2021-05-14 19:26:57,12.655081,55.407878,0.433,1
2021-05-16 12:24:09,12.694047,55.308968,0.361,1
2021-05-24 17:25:26,12.47305,55.515662,0.445,1
2021-05-24 17:25:27,12.535916,55.478393,0.454,1
2021-05-24 17:25:28,12.598655,55.441088,0.445,1
2021-05-24 17:25:29,12.661268,55.403747,0.472,1
2021-05-24 17:25:30,12.723756,55.366368,0.468,1
2021-05-24 17:25:32,12.848355,55.291502,0.498,1
2021-05-26 10:22:41,12.700896,55.312821,0.271,1
2021-06-03 15:23:58,12.48626,55.505545,0.282,1
2021-06-03 15:23:59,12.549094,55.468268,0.284,1
2021-06-03 15:24:00,12.611802,55.430954,0.276,1
2021-06-03 15:24:02,12.736841,55.356216,0.302,1
2021-06-03 15:24:03,12.799172,55.318792,0.302,1
2021-06-03 15:24:04,12.861378,55.281332,0.31,1
2021-06-05 08:21:12,12.654485,55.285197,0.194,1
2021-06-05 08:21:13,12.716697,55.322656,0.206,1
2021-06-13 13:22:30,12.507791,55.49083,0.188,1
2021-06-13 13:22:31,12.570577,55.453539,0.136,1
2021-06-13 13:22:32,12.633238,55.416212,0.13,1
2021-06-13 13:22:33,12.695772,55.378847,0.182,1
2021-06-13 13:22:35,12.820465,55.304009,0.235,1
2021-06-15 06:19:44,12.676792,55.299928,0.142,1
2021-06-23 11:21:01,12.468667,55.51293,0.251,1
2021-06-25 04:18:16,12.700988,55.315357,0.39,1
2021-07-05 02:16:47,12.665326,55.292554,0.41,1
2021-07-05 02:16:48,12.727563,55.330004,0.414,1
2021-07-13 07:18:07,12.644868,55.407665,0.375,1
2021-07-13 07:18:08,12.707377,55.370294,0.372,1
2021-07-13 07:18:10,12.832019,55.295444,0.401,1
2021-07-15 00:15:19,12.697629,55.308949,0.403,1
2021-07-23 05:16:37,12.55891,55.457606,0.386,1
2021-07-24 22:13:50,12.680033,55.295765,0.544,1
2021-07-24 22:13:51,12.742289,55.333207,0.492,1
2021-08-02 03:15:07,12.491855,55.496869,0.336,1
2021-08-02 03:15:08,12.55467,55.45959,0.273,1
2021-08-02 03:15:09,12.617359,55.422274,0.296,1
2021-08-02 03:15:10,12.679922,55.384921,0.296,1
2021-08-02 03:15:11,12.74236,55.347532,0.285,1
2021-08-02 03:15:12,12.804672,55.310106,0.36,1
2021-08-12 01:13:39,12.569079,55.452327,0.26,1
2021-08-12 01:13:40,12.631743,55.415004,0.272,1
2021-08-12 01:13:41,12.694282,55.377643,0.26,1
2021-08-12 01:13:43,12.818982,55.302813,0.341,1
2021-08-13 18:10:52,12.692484,55.302904,0.348,1
2021-08-23 16:09:23,12.659395,55.28446,0.663,1
2021-08-23 16:09:24,12.721608,55.321916,0.663,1
2021-08-31 21:10:41,12.497313,55.497378,0.485,1
2021-08-31 21:10:42,12.560127,55.460095,0.469,1
2021-08-31 21:10:43,12.622815,55.422776,0.467,1
2021-08-31 21:10:44,12.685377,55.38542,0.51,1
2021-08-31 21:10:46,12.810124,55.310599,0.517,1
