datetime_UTC,longitude,latitude,water_level,quality_water_level
2014-01-11T08:50:02.968000,12.929321,55.306715,0.531,1
2014-01-11T08:50:08.629000,12.868138,55.647913,0.488,1
2014-01-11T08:50:09.573000,12.857877,55.704776,0.472,1
2014-01-27T20:24:19.797000,12.957169,55.307609,0.122,1
2014-02-09T07:25:08.205000,12.656376,55.298625,0.022,1
2014-02-09T07:25:09.149000,12.646236,55.355496,0.101,1
2014-02-09T07:25:10.092000,12.636078,55.412365,0.182,1
2014-02-09T07:25:11.036000,12.625903,55.469235,0.116,1
2014-02-25T18:59:09.939000,12.779231,55.760948,0.235,1
2014-02-25T18:59:13.712000,12.738221,55.532825,0.283,1
2014-02-25T18:59:14.656000,12.728014,55.475792,0.269,1
2014-02-25T18:59:15.599000,12.717826,55.418758,0.242,1
2014-02-25T18:59:16.543000,12.707655,55.361723,0.287,1
2014-02-25T18:59:17.486000,12.697502,55.304687,0.274,1
2014-03-10T06:00:08.725000,12.369463,55.478803,0.036,1
2014-03-10T06:00:09.669000,12.359258,55.535823,0.114,1
2014-03-26T17:34:12.345000,12.463948,55.509818,0.544,1
2014-03-26T17:34:13.289000,12.453766,55.452892,0.537,1
2014-04-06T04:37:30.840000,13.006045,55.306849,0.127,1
2014-04-22T16:11:44.837000,13.016826,55.304947,0.459,1
2014-05-05T03:12:34.190000,12.704559,55.384321,0.243,1
2014-05-05T03:12:35.133000,12.694399,55.441162,0.282,1
2014-05-21T14:46:36.866000,12.837205,55.79397,0.298,1
2014-05-21T14:46:37.810000,12.826916,55.737018,0.235,1
2014-05-21T14:46:41.584000,12.785943,55.509202,0.34,1
2014-05-21T14:46:45.357000,12.745259,55.281369,0.337,1
2014-06-03T01:47:36.596000,12.414115,55.467975,0.27,1
2014-06-03T01:47:37.540000,12.403909,55.524887,0.267,1
2014-06-19T13:21:30.782000,12.626529,55.955115,0.412,1
2014-06-19T13:21:38.330000,12.544173,55.49895,0.179,1
2014-06-19T13:21:39.273000,12.533961,55.441925,0.186,1
2014-06-19T13:21:40.216000,12.523767,55.3849,0.144,1
2014-07-28T23:00:05.835000,12.790853,55.292897,0.255,1
2014-07-28T23:00:08.665000,12.7603,55.463715,0.229,1
2014-07-28T23:00:09.608000,12.75008,55.520652,0.23,1
2014-07-28T23:00:13.382000,12.709016,55.74839,0.25,1
2014-07-28T23:00:14.326000,12.698704,55.805322,0.235,1
2014-08-14T10:34:18.889000,12.886767,55.647698,0.344,1
2014-08-14T10:34:24.550000,12.825565,55.306607,0.283,1
2014-08-26T21:35:14.845000,12.499756,55.397317,0.508,1
2014-08-26T21:35:15.789000,12.489573,55.454153,0.517,1
2014-08-26T21:35:16.732000,12.479373,55.510988,0.513,1
2014-09-12T09:09:25.069000,12.587459,55.476294,0.424,1
2014-09-12T09:09:26.013000,12.577262,55.419296,0.394,1
2014-09-12T09:09:26.956000,12.567084,55.362296,0.442,1
2014-09-12T09:09:27.900000,12.556923,55.305296,0.457,1
2014-10-21T18:47:42.197000,12.867734,55.307008,0.403,1
2014-10-21T18:47:45.971000,12.82703,55.535129,0.433,1
2014-10-21T18:47:49.744000,12.786036,55.763236,0.434,1
2014-11-07T06:21:44.873000,12.95702,55.682695,0.381,1
2014-11-07T06:21:50.534000,12.895966,55.341561,0.559,1
2014-11-07T06:21:51.477000,12.885853,55.284702,0.573,1
2014-11-19T17:22:37.999000,12.605623,55.291258,0.29,1
2014-11-19T17:22:38.943000,12.595504,55.348155,0.283,1
2014-11-19T17:22:39.886000,12.585368,55.40505,0.275,1
2014-11-19T17:22:40.830000,12.575213,55.461945,0.263,1
2014-12-06T04:56:40.676000,12.692587,55.79437,0.063,1
2014-12-06T04:56:45.393000,12.641494,55.509963,-0.062,1
2014-12-06T04:56:46.337000,12.63133,55.453078,-0.11,1
2014-12-06T04:56:47.280000,12.621183,55.396192,-0.098,1
2014-12-06T04:56:48.223000,12.611055,55.339306,-0.112,1
2014-12-06T04:56:49.167000,12.600944,55.282419,-0.107,1
2014-12-18T15:57:35.689000,12.301259,55.484046,0.287,1
2015-01-04T03:31:37.422000,12.385674,55.50175,0.502,1
2015-01-04T03:31:38.365000,12.37549,55.444727,0.512,1
2015-01-14T14:34:54.973000,12.935167,55.309784,0.499,1
2015-01-14T14:35:00.634000,12.874033,55.651725,0.413,1
2015-01-14T14:35:01.577000,12.86378,55.708712,0.457,1
2015-01-31T02:09:04.254000,12.964436,55.299855,0.715,1
2015-02-12T13:09:50.776000,12.673908,55.307856,0.405,1
2015-02-12T13:09:51.719000,12.663751,55.364861,0.391,1
2015-02-12T13:09:52.663000,12.653576,55.421865,0.388,1
2015-02-12T13:09:53.606000,12.643383,55.478868,0.386,1
2015-03-01T00:44:01.943000,12.768202,55.780058,-0.007,1
2015-03-01T00:44:02.887000,12.757926,55.723222,-0.009,1
2015-03-01T00:44:05.717000,12.727206,55.552709,0.278,1
2015-03-01T00:44:06.660000,12.717003,55.49587,0.315,1
2015-03-01T00:44:07.604000,12.706817,55.43903,0.297,1
2015-03-01T00:44:08.547000,12.69665,55.382189,0.334,1
2015-03-01T00:44:09.491000,12.6865,55.325347,0.336,1
2015-03-13T11:44:59.786000,12.356234,55.464515,0.61,1
2015-03-13T11:45:00.730000,12.346035,55.521377,0.636,1
2015-03-29T23:19:09.067000,12.458759,55.530213,0.256,1
2015-03-29T23:19:10.010000,12.448548,55.473287,0.226,1
2015-04-09T10:22:26.618000,12.99203,55.317799,0.246,1
2015-04-25T21:56:39.672000,13.032033,55.286818,0.469,1
2015-05-08T08:57:29.025000,12.731291,55.283442,0.314,1
2015-05-08T08:57:29.968000,12.721139,55.34046,0.298,1
2015-05-08T08:57:30.912000,12.71097,55.397478,0.309,1
2015-05-08T08:57:31.855000,12.700783,55.454495,0.28,1
2015-05-08T08:57:32.798000,12.690578,55.511511,0.281,1
2015-05-24T20:31:30.758000,12.846605,55.713879,0.219,1
2015-05-24T20:31:33.588000,12.8159,55.543122,0.295,1
2015-05-24T20:31:34.531000,12.805701,55.486202,0.326,1
2015-05-24T20:31:37.362000,12.775213,55.315435,0.399,1
2015-06-06T07:32:29.544000,12.449481,55.411577,0.488,1
2015-06-06T07:32:30.488000,12.439307,55.468543,0.511,1
2015-06-06T07:32:31.431000,12.429114,55.525509,0.509,1
2015-06-22T19:06:36.938000,12.516092,55.516711,0.508,1
2015-06-22T19:06:37.882000,12.50592,55.459866,0.51,1
2015-06-22T19:06:38.825000,12.495766,55.403021,0.477,1
2015-08-01T04:44:48.348000,12.797091,55.31475,0.458,1
2015-08-01T04:44:51.179000,12.766649,55.485511,0.427,1
2015-08-01T04:44:54.952000,12.725809,55.713181,0.429,1
2015-08-01T04:44:55.896000,12.715553,55.770096,0.274,1
2015-08-01T04:44:56.839000,12.705279,55.827011,0.252,1
2015-08-17T16:18:48.195000,12.896697,55.698511,0.252,1
2015-08-17T16:18:49.138000,12.886448,55.641498,0.388,1
2015-08-17T16:18:54.799000,12.82534,55.299399,0.713,1
2015-08-30T03:19:41.321000,12.538325,55.311491,0.17,1
2015-08-30T03:19:42.264000,12.528177,55.368519,0.108,1
2015-08-30T03:19:43.208000,12.518011,55.425546,0.121,1
2015-08-30T03:19:44.151000,12.507827,55.482572,0.157,1
2015-09-15T14:53:51.545000,12.587423,55.481373,0.151,1
2015-09-15T14:53:52.488000,12.577246,55.424491,0.129,1
2015-09-15T14:53:53.432000,12.567087,55.367607,0.163,1
2015-09-15T14:53:54.375000,12.556946,55.310723,0.166,1
2015-10-14T13:28:56.782000,12.312181,55.484025,0.279,1
2015-10-25T00:32:14.333000,12.85031,55.296665,0.165,1
2015-10-25T00:32:18.106000,12.809605,55.524041,0.14,1
2015-10-25T00:32:21.880000,12.768611,55.751403,0.083,1
2015-10-25T00:32:22.824000,12.758317,55.808242,0.085,1
2015-11-10T12:06:28.330000,12.90419,55.314982,0.231,1
2015-11-22T23:07:19.570000,12.579696,55.318025,0.946,1
2015-11-22T23:07:20.513000,12.569519,55.374986,0.938,1
2015-11-22T23:07:21.457000,12.559324,55.431946,0.926,1
2015-11-22T23:07:22.400000,12.549111,55.488906,0.878,1
2015-12-09T10:41:23.190000,12.743859,55.837984,0.494,1
2015-12-09T10:41:24.133000,12.73353,55.781002,0.458,1
2015-12-09T10:41:25.076000,12.72322,55.724019,0.446,1
2015-12-09T10:41:28.850000,12.682164,55.496079,0.397,1
2015-12-09T10:41:29.794000,12.671945,55.439092,0.397,1
2015-12-09T10:41:30.737000,12.661745,55.382104,0.381,1
2015-12-09T10:41:31.681000,12.651562,55.325115,0.372,1
2016-01-07T09:16:35.974000,12.403611,55.512007,0.641,1
2016-01-07T09:16:36.918000,12.393411,55.455153,0.61,1
2016-01-17T20:19:54.469000,12.935684,55.288617,0.13,1
2016-01-17T20:20:00.129000,12.874538,55.629974,0.157,1
2016-02-03T07:54:10.353000,12.9582,55.317992,-0.15,1
2016-02-15T18:54:57.819000,12.656795,55.335158,0.662,1
2016-02-15T18:54:58.762000,12.64665,55.392021,0.637,1
2016-02-15T18:54:59.706000,12.636487,55.448882,0.614,1
2016-02-15T18:55:00.649000,12.626306,55.505744,0.576,1
2016-03-03T06:29:00.495000,12.770003,55.761617,0.535,1
2016-03-03T06:29:04.269000,12.729019,55.533558,0.396,1
2016-03-03T06:29:05.212000,12.718818,55.476541,0.376,1
2016-03-03T06:29:06.156000,12.708635,55.419523,0.382,1
2016-03-03T06:29:07.099000,12.698471,55.362504,0.406,1
2016-03-03T06:29:08.043000,12.688324,55.305484,0.42,1
2016-03-15T17:29:57.395000,12.371162,55.464364,0.162,1
2016-03-15T17:29:58.338000,12.360969,55.521361,0.191,1
2016-04-01T05:04:00.072000,12.463967,55.52011,0.193,1
2016-04-01T05:04:01.015000,12.453782,55.46316,0.198,1
2016-04-11T16:07:20.453000,12.997852,55.321846,0.411,1
2016-04-28T03:41:32.564000,13.014912,55.283683,0.549,1
2016-05-10T14:42:18.142000,12.729557,55.333582,0.202,1
2016-05-10T14:42:19.086000,12.719412,55.390448,0.162,1
2016-05-10T14:42:20.973000,12.699069,55.504179,0.188,1
2016-05-27T02:16:25.536000,12.835015,55.778615,0.227,1
2016-05-27T02:16:26.479000,12.824735,55.721689,0.278,1
2016-05-27T02:16:30.253000,12.783801,55.493979,0.501,1
2016-05-27T02:16:33.084000,12.75329,55.323185,0.394,1
2016-06-08T13:17:24.323000,12.420583,55.477953,0.053,1
2016-06-08T13:17:25.266000,12.410381,55.534846,0.056,1
2016-08-03T10:29:54.504000,12.764712,55.50131,0.472,1
2016-08-03T10:29:58.278000,12.723725,55.729148,0.412,1
2016-08-03T10:29:59.222000,12.713433,55.786105,0.388,1
2016-08-03T10:30:00.165000,12.703122,55.843061,0.383,1
2016-08-19T22:04:00.011000,12.894234,55.693202,0.418,1
2016-08-19T22:04:00.955000,12.883992,55.636356,0.454,1
2016-08-19T22:04:06.615000,12.822919,55.295267,0.68,1
2016-09-01T09:04:54.081000,12.531801,55.288906,0.371,1
2016-09-01T09:04:55.968000,12.511526,55.402608,0.356,1
2016-09-01T09:04:56.911000,12.501362,55.459457,0.345,1
2016-09-01T09:04:57.855000,12.49118,55.516306,0.363,1
2016-09-17T20:39:03.361000,12.581193,55.504228,0.584,1
2016-09-17T20:39:04.305000,12.571013,55.447258,0.613,1
2016-09-17T20:39:05.248000,12.560851,55.390286,0.606,1
2016-09-17T20:39:06.192000,12.550707,55.333314,0.61,1
2016-10-16T19:13:54.447000,12.326223,55.526176,0.19,1
2016-10-16T19:13:55.390000,12.316049,55.46917,0.222,1
2016-10-27T06:17:11.998000,12.887553,55.295213,-0.114,1
2016-10-27T06:17:19.545000,12.806088,55.751394,0.075,1
2016-10-27T06:17:20.489000,12.795823,55.808413,0.089,1
2016-11-12T17:51:14.674000,12.941951,55.673494,0.286,1
2016-11-12T17:51:20.335000,12.881034,55.332206,0.268,1
2016-11-25T04:52:05.914000,12.611018,55.319176,0.376,1
2016-11-25T04:52:06.857000,12.60091,55.3761,0.398,1
2016-11-25T04:52:07.800000,12.590784,55.433023,0.421,1
2016-11-25T04:52:08.744000,12.58064,55.489945,0.357,1
2016-12-11T16:26:05.760000,12.686013,55.801389,0.597,1
2016-12-11T16:26:11.420000,12.62488,55.46018,0.587,1
2016-12-11T16:26:12.364000,12.614753,55.403308,0.549,1
2016-12-11T16:26:13.307000,12.604645,55.346436,0.573,1
2016-12-11T16:26:14.251000,12.594554,55.289562,0.584,1
2016-12-24T03:27:00.773000,12.311049,55.458474,0.246,1
2017-01-20T02:04:17.170000,12.941146,55.288333,0.336,1
2017-01-20T02:04:18.113000,12.931033,55.345299,0.325,1
2017-01-20T02:04:22.831000,12.880198,55.630119,0.27,1
2017-01-20T02:04:23.774000,12.869977,55.687081,0.268,1
2017-02-05T13:38:20.790000,12.963704,55.309257,0.456,1
2017-02-18T00:39:09.199000,12.675892,55.326052,0.177,1
2017-02-18T00:39:10.142000,12.665752,55.383066,0.01,1
2017-03-06T12:13:11.875000,12.770635,55.779597,0.17,1
2017-03-06T12:13:12.819000,12.760385,55.722745,0.154,1
2017-03-06T12:13:15.649000,12.729746,55.552184,0.649,1
2017-03-06T12:13:16.593000,12.719569,55.495329,0.733,1
2017-03-06T12:13:17.536000,12.70941,55.438473,0.765,1
2017-03-06T12:13:18.479000,12.699269,55.381616,0.764,1
2017-03-06T12:13:19.423000,12.689146,55.324759,0.801,1
2017-03-18T23:14:08.775000,12.379008,55.454692,0.307,1
2017-03-18T23:14:09.719000,12.368838,55.511575,0.3,1
2017-04-04T10:48:16.169000,12.443912,55.531996,0.26,1
2017-04-04T10:48:17.112000,12.433736,55.47509,0.226,1
2017-04-14T21:51:32.776000,13.002116,55.295272,0.633,1
2017-05-01T09:25:41.114000,13.013961,55.308502,0.529,1
2017-05-13T20:26:26.692000,12.742964,55.300475,0.377,1
2017-05-13T20:26:27.636000,12.732843,55.357476,0.345,1
2017-05-13T20:26:28.579000,12.722703,55.414476,0.321,1
2017-05-13T20:26:29.523000,12.712546,55.471476,0.342,1
2017-05-13T20:26:30.466000,12.702371,55.528474,0.345,1
2017-05-30T08:00:22.765000,12.84475,55.788899,0.338,1
2017-05-30T08:00:23.708000,12.834504,55.731956,0.293,1
2017-05-30T08:00:27.482000,12.793703,55.504174,0.356,1
2017-06-11T19:01:18.721000,12.470156,55.415003,0.359,1
2017-06-11T19:01:19.665000,12.460011,55.47199,0.337,1
2017-06-11T19:01:20.608000,12.449847,55.528976,0.338,1
2017-06-28T06:35:22.341000,12.510521,55.523596,0.623,1
2017-06-28T06:35:23.284000,12.500377,55.466748,0.592,1
2017-06-28T06:35:24.228000,12.490251,55.4099,0.624,1
2017-08-06T16:13:33.808000,12.77343,55.497955,0.243,1
2017-08-06T16:13:37.582000,12.732682,55.725552,0.501,1
2017-08-06T16:13:38.525000,12.72245,55.782449,0.424,1
2017-08-06T16:13:39.468000,12.712199,55.839346,0.4,1
2017-08-23T03:47:27.993000,12.87913,55.655961,0.335,1
2017-08-23T03:47:33.654000,12.818135,55.313845,0.634,1
2017-09-04T14:48:22.063000,12.535972,55.308229,0.605,1
2017-09-04T14:48:23.006000,12.525848,55.365251,0.58,1
2017-09-04T14:48:23.950000,12.515706,55.422273,0.581,1
2017-09-04T14:48:24.893000,12.505546,55.479293,0.567,1
2017-09-21T02:22:26.626000,12.577549,55.47864,0.496,1
2017-09-21T02:22:28.513000,12.557252,55.36483,0.536,1
2017-10-20T00:57:27.146000,12.303288,55.47096,0.739,1
2017-10-30T12:00:47.527000,12.821064,55.495147,0.725,1
2017-10-30T12:00:51.301000,12.780181,55.722536,0.647,1
2017-10-30T12:00:52.245000,12.769915,55.779381,0.565,1
2017-11-15T23:34:51.147000,12.952102,55.679649,0.39,1
2017-11-15T23:34:56.808000,12.89084,55.33781,0.565,1
2017-11-28T10:35:45.217000,12.584169,55.335089,0.566,1
2017-11-28T10:35:46.160000,12.574008,55.39203,0.526,1
2017-11-28T10:35:47.104000,12.563829,55.448969,0.554,1
2017-11-28T10:35:48.047000,12.553632,55.505908,0.561,1
2017-12-14T22:09:46.950000,12.72836,55.805625,0.675,1
2017-12-14T22:09:47.893000,12.718058,55.74863,0.699,1
2017-12-14T22:09:51.667000,12.677033,55.520641,0.411,1
2017-12-14T22:09:52.611000,12.666822,55.463642,0.382,1
2017-12-14T22:09:53.554000,12.65663,55.406642,0.356,1
2017-12-14T22:09:54.498000,12.646455,55.349641,0.353,1
2017-12-14T22:09:55.441000,12.636298,55.292639,0.37,1
2017-12-27T09:10:48.567000,12.298405,55.481773,0.616,1
2018-01-12T20:44:55.017000,12.404545,55.545839,0.552,1
